927.293 44 56.5
926.513 42 80.5
928.213 40 102
927.516 38.1771 127.98
927.184 36.1147 154.467
927.848 34.4595 180.279
927.508 32.8302 208.5
926.443 30.963 238.576
928.019 29.4812 264.5
926.743 27.8186 295.46
927.703 26.4787 322.64
928.002 25.0714 351
927.397 23.7822 380.922
927.308 22.462 409.914
927.734 21.3333 437.946
926.632 19.9708 468.484
927.277 18.9086 495.881
927.976 17.8806 522.99
927.783 16.6515 551.331
927.446 15.601 579.562
927.996 14.6043 605.945
1265.12 91 51.5
927.473 13.6138 633.628
1265.25 92 74
926.882 12.6328 660.91
1265.04 93 98
928.267 11.8833 684.621
1266.56 93.8181 120.459
1265.1 94.8966 148.408
1264.88 95.8694 175.462
1265.54 96.8148 201.886
1265.54 97.4893 230.023
1265.06 98.3038 259.416
1266.02 99 286.5
1265.6 99.7772 316.043
1265.24 100.457 345.535
1265.81 101.069 373.438
1265.44 101.746 402.929
1265.1 102.433 432.286
1264.79 103 461.5
1265.35 103.672 489.076
1265.28 104.098 517.553
1264.89 104.658 546.282
1266.44 105.246 571.464
1264.03 105.683 602.773
1265.65 106.191 627.094
1604.23 59 67.2353
1264.89 106.602 654.756
1603.26 58.236 92.0263
1264.64 107.207 681.096
1602.83 57.3427 117.161
1603.6 56.4251 141.5
1603.27 55.5 168.5
1602.86 54.73 196.5
1603.52 53.9224 223.418
1603.23 53.0086 252.385
1603 52.3116 281.5
1603.55 51.522 309.361
1603.38 50.8545 338.518
1602.09 50.0547 369.62
1603.7 49.4872 395.705
1603.35 48.7555 425.121
1602.13 48.2152 455.921
1604.73 47.7788 480.052
1603.25 47.0609 510.973
1603 46.5182 539.53
1602.66 46.0172 567.912
1603.27 45.5178 594.371
1602.68 45.0043 622.359
1940.31 108 64.5
1603.41 44.5332 647.769
1941.24 109.817 86.4592
1603.9 44.0337 673.108
1941.06 111.756 110.973
1940.61 113.668 136.963
1941.13 115.49 162.416
1939.97 117.272 191.483
1940.76 119 218.072
1941.49 120.562 245.226
1941.15 122.232 274.5
1941 123.597 303.536
1940.86 125.083 332.645
1941.39 126.41 360.595
1939.65 127.953 392.474
1941.37 129.064 418.325
1941.08 130.361 447.552
1940.8 131.503 476.64
1941.37 132.606 504.121
1941.25 133.716 532.526
1940.92 134.733 560.985
1941.52 135.675 587.556
2277.68 90 38
1941.22 136.741 615.18
2278.83 91 58.5
1940.58 137.671 642.891
2278.47 92 82
1940.75 138.602 668.805
2279.21 93.2596 104.971
2279.19 94.3505 130.039
2278.62 95.1968 156.985
2278.92 96.0324 183.47
2278.72 96.9707 211.534
2278.64 97.7437 239.982
2279.34 98.4939 267.426
2279.16 99.3358 296.5
2278.81 99.9919 325.946
2279.41 100.785 353.785
2278.93 101.325 383.5
2278.48 101.944 413.111
2278.24 102.593 442.261
2278.79 103.16 469.956
2278.72 103.846 498.567
2279.34 104.316 525.783
2278.94 104.797 554.443
2278.68 105.426 582.5
2279.37 105.857 608.62
2278.8 106.4 636.324
2616.83 42 76
2278.18 106.819 663.595
2616.68 40 100
2617.23 38.3357 124
2616.77 36.4164 150.546
2616.35 34.5186 178
2617.02 32.9492 204.467
2616.77 31.0756 233.076
2616.7 29.5739 261.778
2616.41 28.0774 291.04
2616.92 26.6749 318.981
2616.77 25.171 348.108
2617.29 23.9797 376.092
2616.02 22.5394 407.141
2616.48 21.4185 435.113
2617.17 20.1789 462.596
2616.7 19.0171 491.922
2617.71 17.9879 518.541
2617.19 16.8124 547.484
2617.93 15.7499 573.988
